posição,país,população,crescimento
–,Gronelândia,56 653,
–,Ossétia do Sul,53 532,
–,Ilhas Faroe,52 889,
–,Marianas Setentrionais,49 481,
187,São Cristóvão e Nevis,47 606,
–,Ilhas Turks e Caicos,45 114,
–,Samoa Americana,45 035,
–,São Martinho,42 876,
188,Ilhas Marshall,42 050,
189,Liechtenstein,39 039,
190,Mónaco,36 686,
191,San Marino,35 745,
–,Gibraltar,32 669,
-,São Martinho,31 948,
–,Ilhas Virgens Britânicas,30 122,
–,Bonaire,20 104,
192,Palau,18 024,
–,Ilhas Cook,17 459,
–,Wallis e Futuna,15 289,
–,Anguila,15 094,
193,Nauru,12 511,
194,Tuvalu,11 204,
–,São Bartolomeu,9 131,
–,Santa Helena (território),6 158,
–,São Pedro e Miquelão,5 816,
–,Montserrat,5 085,
–,Ilhas Malvinas,3 662,
–,Santo Eustáquio (Países Baixos),3 139,
–,Território Britânico do Oceano Índico,3 000,
–,Ilha Norfolk,2 169,
–,Ilha Christmas,1 996,
–,Saba,1 933,
–,Niue,1 626,
–,Tokelau,1 411,
–,Ilha de Ascensão,1 100,
195,Vaticano,825,
–,Ilhas Cocos (Keeling),596,
–,Tristão da Cunha (Reino Unido),264,
–,Ilhas Pitcairn,67,
